id;estado;fc;fm;fecha;codigo;cliente;tipo_envio;numini;numfin;totenvio;entregado;uc_id;um_id;fpago
1;1;24/08/2022 00:00;29/08/2022;24/08/2022 00:00;MAZ;AGENCIA MAZATENANGO;CONTRA ENTREGA;27051;27200;150;1;;;TALONARIOS
2;1;16/12/2021 00:00;29/08/2022;16/12/2021 00:00;CHI;AGENCIA CHIQUIMULA;CONTRA ENTREGA;27501;27600;100;1;;;TALONARIOS
3;1;20/12/2021 00:00;29/08/2022;20/12/2021 00:00;JUT;AGENCIA JUTIAPA;CONTRA ENTREGA;27751;27800;50;1;;;TALONARIOS
4;1;20/12/2021 00:00;29/08/2022;20/12/2021 00:00;JUT;AGENCIA JUTIAPA;CONTRA ENTREGA;27901;27950;50;1;;;TALONARIOS
5;1;29/12/2021 00:00;29/08/2022;29/12/2021 00:00;MAZ;AGENCIA MAZATENANGO;GUIA MADRE;28301;28400;100;1;;;POR COBRAR
6;1;4/01/2022 00:00;29/08/2022;4/01/2022 00:00;CHI;AGENCIA CHIQUIMULA;CONTRA ENTREGA;28351;28450;100;1;;;TALONARIOS
7;1;5/01/2022 00:00;29/08/2022;5/01/2022 00:00;MAZ;AGENCIA MAZATENANGO;CONTRA ENTREGA;28501;28550;50;1;;;TALONARIOS
8;1;7/01/2022 00:00;29/08/2022;7/01/2022 00:00;ZAC;AGENCIA ZACAPA;CONTRA ENTREGA;28701;28800;100;1;;;TALONARIOS
9;1;3/02/2022 00:00;29/08/2022;3/02/2022 00:00;ESC;AGENCIA ESCUINTLA;CONTRA ENTREGA;29051;29150;100;1;;;TALONARIOS
10;1;8/02/2022 00:00;29/08/2022;8/02/2022 00:00;XCO-427;DISTRIBUIDORA INDUSTRIAL AG;CONTRA ENTREGA;29201;29300;100;1;;;TALONARIOS
11;1;10/02/2022 00:00;29/08/2022;10/02/2022 00:00;R2;JOSE ROSAS;CONTRA ENTREGA;29301;29350;50;1;;;TALONARIOS
12;1;23/02/2022 00:00;29/08/2022;23/02/2022 00:00;XCO-958;IAM FIT GUATEMALA;CONTRA ENTREGA;29601;29650;50;0;;;TALONARIOS
13;1;20/05/2022 00:00;29/08/2022;20/05/2022 00:00;XEL;AGENCIA QUETZALTENANGO;CONTRA ENTREGA;39151;39200;50;1;;;TALONARIOS
14;1;18/11/2021 00:00;29/08/2022;18/11/2021 00:00;JAL;AGENCIA JALAPA;MANIFIESTOS;54701;54750;50;1;;;TALONARIO
15;1;29/11/2021 00:00;29/08/2022;29/11/2021 00:00;CHI;AGENCIA CHIQUIMULA;MANIFIESTOS;55101;55200;100;1;;;TALONARIOS
16;1;30/11/2021 00:00;29/08/2022;30/11/2021 00:00;CHM;AGENCIA CHIMALTENANGO;MANIFIESTOS;55401;55500;100;1;;;TALONARIO
17;1;2/12/2021 00:00;29/08/2022;2/12/2021 00:00;JAL;JALAP;MANIFIESTOS;55501;55600;100;1;;;TALONARIOS
18;1;21/12/2021 00:00;29/08/2022;21/12/2021 00:00;JAL;AGENCIA JALAPA;MANIFIESTOS;55617;55650;34;1;;;TALONARIOS
19;1;6/12/2021 00:00;29/08/2022;6/12/2021 00:00;MAZ;AGENCIA MAZATENANGO;MANIFIESTOS;55801;55900;100;1;;;TALONARIOS
20;1;10/12/2021 00:00;29/08/2022;10/12/2021 00:00;JUT;AGENCIA JUTIAPA;MANIFIESTOS;55951;56050;100;1;;;TALONARIOS
21;1;16/12/2021 00:00;29/08/2022;16/12/2021 00:00;CHI;AGENCIA CHIQUIMULA;MANIFIESTOS;56251;56350;100;1;;;TALONARIOS
22;1;17/12/2021 00:00;29/08/2022;17/12/2021 00:00;MAZ;AGENCIA MAZATENANGO;MANIFIESTOS;56451;56550;100;1;;;TALONARIOS
23;1;17/12/2021 00:00;29/08/2022;17/12/2021 00:00;JUT;AGENCIA JUTIAPA;MANIFIESTOS;56551;56650;100;1;;;TALONARIOS
24;1;20/12/2021 00:00;29/08/2022;20/12/2021 00:00;CHM;AGENCIA CHIMALTENANGO;MANIFIESTOS;56651;56700;50;1;;;TALONARIOS
25;1;21/12/2021 00:00;29/08/2022;21/12/2021 00:00;JAL;AGENCIA JALAPA;MANIFIESTOS;56701;56750;50;1;;;TALONARIOS
26;1;27/12/2021 00:00;29/08/2022;27/12/2021 00:00;ESC;AGENCIA ESCUINTLA;MANIFIESTOS;56751;56850;100;1;;;TALONARIOS
27;1;27/12/2021 00:00;29/08/2022;27/12/2021 00:00;CHM;AGENCIA CHIMALTENANGO;MANIFIESTOS;56851;56900;50;1;;;TALONARIOS
28;1;30/12/2021 00:00;29/08/2022;30/12/2021 00:00;MAZ;AGENCIA MAZATENANGO;MANIFIESTOS;56951;57000;50;1;;;TALONARIOS
29;1;5/01/2022 00:00;29/08/2022;5/01/2022 00:00;MAZ;AGENCIA MAZATENANGO;MANIFIESTOS;57201;57250;50;1;;;TALONARIOS
30;1;7/01/2022 00:00;29/08/2022;7/01/2022 00:00;ZAC;AGENCIA ZACAPA;MANIFIESTOS;57251;57350;100;1;;;TALONARIOS
31;1;11/01/2022 00:00;29/08/2022;11/01/2022 00:00;JUT;AGENCIA JUTIAPA;MANIFIESTOS;57351;57450;100;1;;;TALONARIOS
32;1;13/01/2022 00:00;29/08/2022;13/01/2022 00:00;CHM;AGENCIA CHIMALTENANGO;MANIFIESTOS;57451;57500;50;1;;;TALONARIOS
33;1;22/01/2022 00:00;29/08/2022;22/01/2022 00:00;JAL;AGENCIA JALAPA;MANIFIESTOS;57851;57950;100;1;;;TALONARIOS
